POLICY_NUMBER,INSURANCE_TYPE,PREMIUM_AMOUNT,TENURE
PLC00002222,Travel,64.27,53
PLC00002192,Health,148.99,13
PLC00008070,Health,199.92,63
PLC00000791,Motor,130.96,95
PLC00000776,Health,107.29,25
PLC00007329,Motor,73.81,18
PLC00009630,Property,135.39,23
PLC00002781,Life,68.59,18
PLC00007440,Property,105.06,9
PLC00007007,Life,84.52,16
PLC00001684,Health,165.2,106
PLC00004734,Travel,66.4,54
PLC00007585,Life,54.04,25
PLC00006124,Health,178.84,49
PLC00003406,Mobile,9.76,10
PLC00005004,Mobile,6.37,74
PLC00000819,Mobile,10.05,67
PLC00003876,Health,160.97,55
PLC00005464,Motor,109.85,21
PLC00000112,Health,101.38,29
PLC00006132,Life,87.16,19
PLC00003564,Life,86.83,93
PLC00002840,Life,72.44,82
PLC00007987,Property,152.37,58
PLC00008063,Travel,54.43,65
PLC00006403,Mobile,6.4,106
PLC00005819,Travel,79.03,26
PLC00002040,Motor,126.93,52
PLC00002294,Property,136.54,83
PLC00005388,Property,112.35,81
PLC00004866,Health,102.34,68
PLC00000753,Life,81.27,107
PLC00004602,Mobile,10.93,79
PLC00005782,Mobile,6.19,18
PLC00009210,Property,128.54,44
PLC00000376,Mobile,9.26,50
PLC00002817,Health,188.42,59
PLC00006358,Health,159.47,38
PLC00006232,Health,124.89,39
PLC00001316,Motor,105.08,10
PLC00001705,Mobile,10.37,43
PLC00008375,Health,144.7,89
PLC00001502,Health,115.3,13
PLC00000532,Travel,51.66,86
PLC00000967,Property,132.33,9
PLC00008765,Life,99.08,114
PLC00008590,Mobile,9.75,11
PLC00007241,Life,82.06,100
PLC00007579,Health,185.56,46
PLC00005838,Property,136.14,7
PLC00008473,Mobile,9.1,109
PLC00003051,Health,180.07,111
PLC00003801,Health,160.44,44
PLC00000773,Motor,126.21,8
PLC00002954,Mobile,7.55,24
PLC00006555,Life,86.56,43
PLC00005868,Mobile,6.71,11
PLC00009489,Travel,75.56,54
PLC00009031,Travel,51.24,100
PLC00002249,Health,169.48,59
PLC00006847,Health,182.79,94
PLC00001756,Motor,83.24,70
PLC00008599,Mobile,7.72,61
PLC00004101,Travel,62.7,11
PLC00008550,Mobile,8.27,60
PLC00000471,Mobile,7.47,19
PLC00008162,Life,59.6,28
PLC00009948,Travel,95.68,30
PLC00001911,Life,98.21,27
PLC00001648,Property,145.21,87
PLC00006656,Health,166.0,100
PLC00005675,Property,156.8,20
PLC00007725,Health,136.93,87
PLC00003332,Health,158.0,110
PLC00006467,Property,129.59,108
PLC00003902,Health,121.89,68
PLC00007815,Health,193.9,113
PLC00008669,Property,117.48,35
PLC00002102,Property,99.99,112
PLC00003234,Life,68.44,97
PLC00004448,Life,97.01,59
PLC00007926,Property,152.08,45
PLC00007923,Life,66.77,32
PLC00002460,Motor,94.74,30
PLC00007255,Mobile,11.04,60
PLC00009634,Motor,71.15,66
PLC00000616,Health,151.24,42
PLC00007140,Health,105.29,27
PLC00004847,Property,98.79,65
PLC00006675,Travel,86.6,12
PLC00008121,Mobile,9.22,118
PLC00005178,Life,81.86,97
PLC00002284,Travel,94.27,100
PLC00009481,Property,148.38,21
PLC00002549,Health,183.27,41
PLC00008059,Property,83.02,77
PLC00005894,Health,151.54,31
PLC00002783,Mobile,9.6,32
PLC00001255,Property,115.33,97
PLC00006790,Mobile,8.35,100
PLC00006839,Property,145.33,59
PLC00003122,Mobile,7.5,59
PLC00005414,Mobile,8.54,34
PLC00001473,Health,137.88,7
PLC00001681,Travel,85.7,87
PLC00004949,Life,73.46,97
PLC00001022,Travel,54.08,99
PLC00009447,Motor,75.36,25
PLC00004584,Life,61.0,38
PLC00005836,Motor,83.53,91
PLC00005131,Travel,79.27,47
PLC00006278,Motor,73.53,58
PLC00003291,Motor,127.17,90
PLC00004576,Health,182.43,107
PLC00000822,Motor,85.07,85
PLC00009576,Property,130.75,115
PLC00002858,Life,81.23,97
PLC00008823,Health,137.97,67
PLC00003330,Motor,78.5,15
PLC00002966,Property,119.78,66
PLC00001650,Travel,85.25,71
PLC00008616,Motor,82.78,23
PLC00000599,Property,134.29,30
PLC00008911,Property,144.47,8
PLC00008466,Mobile,11.02,24
PLC00000505,Property,83.82,59
PLC00005365,Life,96.09,57
PLC00000303,Mobile,10.47,35
PLC00008507,Health,192.72,72
PLC00004417,Mobile,10.2,105
PLC00005580,Life,54.58,89
PLC00004810,Travel,92.42,15
PLC00006890,Property,97.59,13
PLC00006336,Motor,126.7,41
PLC00004737,Travel,66.26,79
PLC00008222,Motor,120.2,20
PLC00002770,Property,99.79,20
PLC00006917,Travel,54.57,88
PLC00003774,Mobile,10.44,28
PLC00006761,Life,80.21,56
PLC00007345,Health,151.68,17
PLC00001441,Property,103.88,111
PLC00001637,Property,99.92,18
PLC00005416,Health,118.63,60
PLC00008806,Mobile,10.95,16
PLC00003903,Motor,70.28,8
PLC00002368,Health,185.43,92
PLC00008317,Health,109.56,75
PLC00004760,Property,139.87,110
PLC00005548,Travel,68.59,13
PLC00003618,Mobile,10.1,101
PLC00005895,Mobile,11.64,91
PLC00002994,Mobile,6.72,115
PLC00008728,Property,133.46,29
PLC00001550,Life,77.21,32
PLC00002061,Life,80.47,117
PLC00001001,Travel,64.09,31
PLC00005070,Life,77.95,116
PLC00003913,Mobile,7.02,89
PLC00006035,Property,99.21,68
PLC00000381,Life,63.4,38
PLC00003920,Health,172.73,24
PLC00003063,Health,184.78,21
PLC00009877,Life,59.03,68
PLC00003509,Health,145.53,80
PLC00006687,Motor,134.88,118
PLC00002318,Mobile,6.34,95
PLC00003470,Motor,81.36,50
PLC00001206,Motor,137.02,19
PLC00001030,Mobile,11.95,53
PLC00001275,Life,77.1,38
PLC00004440,Travel,76.26,102
PLC00004678,Motor,110.62,93
PLC00009404,Life,74.51,103
PLC00009747,Life,77.65,85
PLC00002991,Mobile,9.74,110
PLC00007634,Life,77.14,76
PLC00005657,Health,183.03,43
PLC00009129,Motor,85.32,73
PLC00005257,Motor,92.87,90
PLC00002749,Motor,99.6,36
PLC00004005,Travel,70.99,112
PLC00006432,Health,117.27,40
PLC00002467,Health,100.02,119
PLC00004016,Property,121.57,84
PLC00006567,Health,153.39,105
PLC00000964,Motor,99.91,44
PLC00009969,Mobile,8.66,103
PLC00008388,Mobile,8.62,40
PLC00004304,Mobile,10.35,79
PLC00009687,Mobile,7.64,12
PLC00002688,Life,82.54,84
PLC00009399,Health,191.87,83
PLC00006225,Property,128.81,96
PLC00001329,Travel,88.27,23
PLC00000478,Health,164.81,48
PLC00009650,Motor,87.29,18
PLC00002567,Health,197.92,47
PLC00002463,Travel,87.42,32
PLC00009236,Health,150.06,53
PLC00000231,Property,118.77,28
PLC00004859,Travel,98.31,86
PLC00008931,Travel,79.82,65
PLC00009501,Mobile,6.15,81
PLC00005571,Motor,81.75,72
PLC00006860,Property,128.02,40
PLC00000161,Property,82.5,80
PLC00004323,Travel,69.09,52
PLC00008542,Property,129.71,12
PLC00000271,Motor,127.86,29
PLC00008243,Life,64.96,102
PLC00007714,Travel,96.05,29
PLC00007209,Property,117.55,68
PLC00006864,Travel,62.7,102
PLC00002281,Travel,52.7,78
PLC00006340,Motor,76.35,30
PLC00005246,Mobile,8.9,74
PLC00003897,Motor,110.44,67
PLC00007521,Travel,66.08,83
PLC00007922,Life,88.68,55
PLC00005595,Travel,58.44,81
PLC00009305,Property,101.42,54
PLC00007613,Motor,101.0,12
PLC00005957,Life,76.66,59
PLC00001921,Property,99.75,110
PLC00008329,Mobile,9.21,21
PLC00003679,Motor,122.88,48
PLC00007486,Life,54.56,29
PLC00004790,Mobile,6.71,72
PLC00004793,Life,62.9,77
PLC00009538,Travel,57.57,102
PLC00000441,Life,66.37,98
PLC00000122,Life,59.62,72
PLC00002394,Property,81.41,95
PLC00007150,Travel,79.63,98
PLC00006440,Mobile,11.11,32
PLC00002072,Property,142.95,19
PLC00000261,Property,90.0,75
PLC00005039,Travel,78.51,66
PLC00006529,Travel,52.47,52
PLC00001902,Property,125.14,73
PLC00004367,Property,117.35,111
PLC00008638,Motor,112.59,89
PLC00002499,Life,58.76,84
PLC00008691,Travel,96.04,108
PLC00002374,Travel,62.03,96
PLC00001440,Life,65.83,47
PLC00007623,Life,53.99,20
PLC00005076,Life,86.84,102
PLC00006752,Property,133.25,28
PLC00005666,Health,111.35,90
PLC00009196,Life,71.59,69
PLC00000717,Property,137.85,31
PLC00004622,Health,179.3,46
PLC00002925,Motor,83.77,97
PLC00005716,Life,69.59,94
PLC00002346,Life,80.75,80
PLC00005491,Motor,116.49,37
PLC00009672,Motor,132.57,109
PLC00005450,Life,74.65,42
PLC00000662,Health,138.78,85
PLC00002743,Motor,132.93,34
PLC00001664,Life,88.0,87
PLC00000436,Mobile,7.32,43
PLC00002435,Life,53.67,53
PLC00003660,Property,103.97,85
PLC00001374,Mobile,9.76,77
PLC00006993,Health,190.24,72
PLC00005331,Health,183.63,17
PLC00008685,Mobile,9.03,43
PLC00003379,Life,57.03,55
PLC00000700,Motor,130.07,50
PLC00002188,Mobile,10.96,25
PLC00007825,Travel,54.62,61
PLC00001302,Property,151.81,35
PLC00004662,Life,74.69,118
PLC00000195,Mobile,7.61,67
PLC00009330,Health,190.47,70
PLC00007637,Mobile,6.13,95
PLC00008029,Motor,107.09,88
PLC00008607,Property,125.13,91
PLC00005309,Health,110.19,23
PLC00007717,Mobile,7.6,22
PLC00003103,Mobile,8.67,16
PLC00000295,Mobile,6.8,109
PLC00009813,Life,99.97,96
PLC00001174,Motor,137.32,37
PLC00001489,Health,181.92,22
PLC00009870,Mobile,11.06,95
PLC00003223,Health,188.8,113
PLC00008686,Mobile,10.78,45
PLC00009431,Property,153.46,72
PLC00002953,Travel,77.26,108
PLC00005834,Travel,88.97,31
PLC00001868,Property,157.04,117
PLC00007629,Health,154.17,88
PLC00005766,Motor,98.63,68
PLC00001751,Travel,98.58,34
PLC00006892,Health,107.21,37
PLC00003297,Property,94.17,95
PLC00004177,Life,66.41,61
PLC00009738,Travel,55.33,89
PLC00007385,Motor,82.39,39
PLC00009519,Property,113.45,77
PLC00000907,Travel,51.81,110
PLC00006936,Health,172.11,90
PLC00005173,Mobile,9.28,68
PLC00004330,Mobile,8.47,51
PLC00000781,Property,134.13,118
PLC00004643,Travel,96.99,83
PLC00008933,Health,146.17,26
PLC00001059,Property,132.7,113
PLC00006849,Life,64.5,51
PLC00005882,Life,85.64,56
PLC00007890,Property,116.96,45
PLC00009865,Travel,70.78,47
PLC00007366,Life,55.2,36
PLC00007943,Motor,101.65,23
PLC00005913,Health,117.65,13
PLC00009822,Travel,83.47,116
PLC00001126,Motor,93.43,96
PLC00002780,Life,52.39,25
PLC00003565,Life,90.46,46
PLC00009076,Travel,86.31,105
PLC00002146,Motor,103.88,17
PLC00006653,Mobile,10.69,10
PLC00005585,Life,57.6,103
PLC00002800,Mobile,6.11,79
PLC00003631,Health,152.12,42
PLC00004201,Mobile,7.03,91
PLC00002857,Health,157.31,113
PLC00002584,Travel,80.25,84
PLC00006704,Motor,89.11,66
PLC00002699,Health,183.13,43
PLC00008533,Mobile,6.65,99
PLC00004877,Health,122.83,65
PLC00002288,Life,94.63,68
PLC00001891,Mobile,10.08,11
PLC00002379,Property,159.71,72
PLC00004153,Property,122.21,76
PLC00008529,Life,96.07,85
PLC00009417,Property,154.04,89
PLC00004937,Motor,120.32,8
PLC00001587,Mobile,10.34,33
PLC00005481,Health,186.65,73
PLC00006497,Health,151.33,96
PLC00001109,Health,141.39,74
PLC00006187,Mobile,11.62,54
PLC00003152,Health,178.33,107
PLC00001676,Life,73.66,83
PLC00006962,Mobile,7.19,30
PLC00002364,Motor,97.26,43
PLC00005537,Life,50.28,71
PLC00001182,Motor,99.59,99
PLC00003318,Health,124.95,51
PLC00004952,Property,149.29,60
PLC00005844,Health,196.89,118
PLC00008789,Motor,89.2,69
PLC00008459,Property,124.45,106
PLC00005199,Property,129.39,86
PLC00000348,Health,142.29,58
PLC00007773,Travel,92.98,63
PLC00006302,Health,153.56,18
PLC00001504,Motor,106.99,34
PLC00008677,Health,119.52,57
PLC00000670,Property,135.25,111
PLC00006808,Travel,52.57,86
PLC00006827,Motor,91.86,73
PLC00003595,Health,129.14,93
PLC00005127,Life,86.31,54
PLC00005185,Motor,82.0,21
PLC00004512,Mobile,7.09,75
PLC00009543,Motor,98.44,83
PLC00003954,Property,84.19,110
PLC00001624,Mobile,7.27,115
PLC00009491,Health,140.02,92
PLC00005099,Mobile,10.67,9
PLC00000188,Motor,93.8,82
PLC00000885,Travel,55.49,43
PLC00004970,Property,82.21,14
PLC00008562,Motor,88.49,41
PLC00003901,Mobile,10.6,66
PLC00005207,Travel,57.58,113
PLC00007467,Mobile,7.32,32
PLC00004606,Travel,72.08,57
PLC00008567,Health,184.61,109
PLC00008409,Travel,63.8,39
PLC00009223,Health,140.94,81
PLC00007821,Motor,112.27,63
PLC00008572,Mobile,9.05,38
PLC00004977,Motor,109.01,74
PLC00002942,Mobile,8.75,38
PLC00001381,Travel,55.9,41
PLC00005218,Property,138.74,105
PLC00003228,Mobile,11.61,85
PLC00000009,Property,94.11,95
PLC00008631,Travel,53.24,56
PLC00008006,Health,148.93,6
PLC00008634,Property,85.14,112
PLC00002385,Property,121.26,114
PLC00009645,Motor,87.89,66
PLC00007392,Property,101.02,8
PLC00004610,Life,72.13,9
PLC00004775,Property,83.94,111
PLC00000833,Life,83.61,49
PLC00009109,Health,170.83,96
PLC00008844,Travel,80.38,27
PLC00006409,Health,192.57,12
PLC00007603,Health,142.94,41
PLC00003644,Motor,114.35,6
PLC00004556,Mobile,7.17,14
PLC00005648,Property,121.18,18
PLC00006312,Mobile,8.04,26
PLC00008498,Health,154.52,34
PLC00007988,Mobile,10.45,9
PLC00002161,Property,153.55,60
PLC00006247,Travel,63.97,31
PLC00008386,Property,127.64,34
PLC00007748,Mobile,7.17,93
PLC00007060,Health,150.93,50
PLC00007334,Health,163.2,114
PLC00009178,Motor,137.68,9
PLC00003809,Property,120.77,102
PLC00009684,Motor,123.17,53
PLC00008895,Life,77.42,103
PLC00003617,Health,107.21,39
PLC00005457,Motor,118.69,20
PLC00004036,Mobile,6.76,66
PLC00001224,Property,148.52,85
PLC00004524,Life,81.83,95
PLC00005469,Mobile,8.34,98
PLC00004831,Motor,133.12,62
PLC00008145,Mobile,6.23,52
PLC00003743,Motor,123.06,117
PLC00002986,Travel,81.44,74
PLC00001700,Property,155.55,113
PLC00003217,Travel,52.84,91
PLC00000284,Travel,55.21,45
PLC00001085,Health,120.11,15
PLC00005697,Travel,93.55,74
PLC00003404,Health,186.39,39
PLC00002536,Mobile,11.9,96
PLC00008355,Mobile,7.56,98
PLC00007450,Travel,58.07,71
PLC00005948,Property,91.26,65
PLC00007993,Travel,63.36,96
PLC00006111,Life,85.52,43
PLC00005837,Property,128.06,93
PLC00008382,Travel,92.79,57
PLC00001693,Health,129.24,44
PLC00002331,Travel,83.41,98
PLC00000325,Travel,78.12,56
PLC00008340,Property,101.21,67
PLC00003456,Health,117.19,41
PLC00009257,Motor,136.09,18
PLC00004687,Property,109.83,81
PLC00007037,Life,85.09,19
PLC00007103,Health,108.28,109
PLC00009326,Life,72.66,92
PLC00004794,Health,130.89,108
PLC00008136,Travel,96.16,98
PLC00006844,Property,85.92,35
PLC00003173,Travel,75.78,35
PLC00007182,Property,110.86,108
PLC00002941,Motor,90.57,108
PLC00007974,Property,83.54,23
PLC00003725,Life,52.21,45
PLC00001556,Property,138.24,103
PLC00003011,Motor,78.74,27
PLC00007408,Motor,139.24,62
PLC00008918,Property,90.94,98
PLC00000918,Mobile,8.98,115
PLC00000886,Mobile,11.08,29
PLC00008956,Life,83.67,26
PLC00007919,Property,138.17,42
PLC00005240,Travel,58.08,96
PLC00007899,Property,135.83,92
PLC00006504,Health,189.92,19
PLC00009793,Mobile,11.47,75
PLC00005402,Health,153.13,37
PLC00006863,Travel,93.21,57
PLC00008788,Mobile,7.04,23
PLC00008696,Property,149.31,74
PLC00002875,Motor,127.37,30
PLC00005872,Travel,62.8,76
PLC00009142,Health,171.14,62
PLC00003722,Life,73.74,38
PLC00001122,Mobile,9.32,96
PLC00002465,Travel,89.64,114
PLC00006634,Mobile,9.26,118
PLC00004112,Travel,74.37,75
PLC00008942,Motor,113.24,49
PLC00004248,Motor,92.05,79
PLC00001046,Life,68.88,73
PLC00002455,Travel,63.16,50
PLC00004779,Mobile,7.27,48
PLC00007383,Motor,74.74,25
PLC00006785,Property,85.82,105
PLC00004380,Motor,115.86,58
PLC00001035,Mobile,11.6,44
PLC00003560,Life,86.35,98
PLC00004306,Travel,95.85,107
PLC00009372,Mobile,9.03,108
PLC00003434,Mobile,11.54,72
PLC00001291,Life,92.12,91
PLC00007785,Travel,76.96,43
PLC00009534,Health,141.66,108
PLC00007320,Travel,87.76,16
PLC00006611,Property,121.83,21
PLC00000730,Mobile,11.76,46
PLC00008212,Motor,103.01,31
PLC00006343,Life,68.18,28
PLC00006548,Property,150.62,80
PLC00004768,Travel,55.91,53
PLC00000658,Mobile,8.95,73
PLC00001484,Mobile,9.03,118
PLC00006633,Travel,93.88,21
PLC00001856,Motor,81.86,78
PLC00001052,Life,87.99,92
PLC00008849,Mobile,11.62,94
PLC00002687,Property,148.55,115
PLC00009433,Mobile,10.93,66
PLC00001465,Health,112.17,38
PLC00004534,Life,61.43,16
PLC00006453,Property,85.34,42
PLC00004946,Health,109.83,112
PLC00004967,Life,53.76,51
PLC00009535,Travel,74.62,43
PLC00001666,Property,119.74,60
PLC00003226,Mobile,6.96,104
PLC00007369,Mobile,10.87,18
PLC00005022,Health,160.8,117
PLC00006450,Life,64.31,55
PLC00001586,Health,158.99,72
PLC00008282,Property,125.71,58
PLC00009254,Mobile,11.18,47
PLC00003656,Property,106.81,53
PLC00000269,Motor,85.74,46
PLC00002047,Mobile,6.09,16
PLC00000220,Travel,83.25,95
PLC00009844,Property,130.77,91
PLC00009150,Property,125.61,77
PLC00003032,Travel,62.41,16
PLC00008032,Mobile,8.72,105
PLC00001510,Health,101.37,114
PLC00007755,Travel,87.07,65
PLC00007292,Property,158.93,91
PLC00008627,Motor,106.91,33
PLC00005616,Life,53.73,83
PLC00000676,Health,163.32,118
PLC00001561,Life,55.95,25
PLC00008197,Mobile,11.87,19
PLC00007404,Travel,59.34,95
PLC00005122,Health,115.26,65
PLC00005119,Mobile,8.12,18
PLC00006052,Travel,60.5,116
PLC00007715,Mobile,7.82,37
PLC00003714,Travel,92.86,61
PLC00002547,Motor,86.5,84
PLC00003328,Motor,128.29,82
PLC00009896,Life,91.2,96
PLC00004906,Property,144.53,28
PLC00006082,Health,152.49,67
PLC00005420,Health,120.7,74
PLC00000260,Travel,64.3,111
PLC00009263,Travel,87.69,24
PLC00009949,Mobile,8.03,58
PLC00001656,Mobile,11.52,49
PLC00002202,Health,114.0,49
PLC00000111,Health,193.88,74
PLC00000327,Motor,118.76,7
PLC00007223,Property,82.05,68
PLC00007864,Property,109.37,106
PLC00002306,Motor,102.29,23
PLC00000650,Motor,134.15,99
PLC00003995,Life,94.06,90
PLC00002030,Motor,115.27,109
PLC00006325,Travel,87.27,104
PLC00009656,Life,90.36,39
PLC00005167,Property,123.47,10
PLC00007649,Health,115.34,46
PLC00009584,Mobile,7.54,41
PLC00005760,Property,90.78,61
PLC00004172,Health,103.65,89
PLC00002611,Health,115.32,50
PLC00002348,Travel,90.49,62
PLC00006317,Mobile,6.11,18
PLC00008064,Mobile,10.88,93
PLC00006177,Mobile,8.55,56
PLC00006167,Property,144.01,87
PLC00003123,Health,191.53,7
PLC00002431,Travel,67.88,84
PLC00008984,Travel,84.5,49
PLC00003050,Property,142.87,28
PLC00002728,Motor,139.73,76
PLC00001390,Travel,93.63,117
PLC00003726,Health,200.0,12
PLC00002243,Property,102.13,75
PLC00009049,Travel,92.76,56
PLC00006460,Property,124.42,36
PLC00001251,Health,106.5,52
PLC00007058,Health,112.13,51
PLC00006744,Travel,87.64,91
PLC00009166,Life,71.52,61
PLC00007808,Travel,53.44,84
PLC00007758,Life,80.75,57
PLC00000184,Life,72.89,87
PLC00002814,Health,153.15,68
PLC00000323,Motor,124.9,14
PLC00009054,Property,128.5,46
PLC00000272,Property,80.88,119
PLC00006100,Mobile,7.99,85
PLC00001121,Travel,98.92,23
PLC00000464,Travel,54.08,72
PLC00008548,Motor,99.69,99
PLC00005212,Travel,71.98,99
PLC00009117,Life,76.91,37
PLC00009898,Life,82.28,94
PLC00005539,Mobile,6.86,24
PLC00001697,Property,143.58,83
PLC00004544,Mobile,7.24,76
PLC00006436,Travel,74.12,31
PLC00002273,Life,73.71,21
PLC00003773,Property,144.78,69
PLC00005101,Mobile,7.06,65
PLC00001214,Property,89.57,35
PLC00006172,Property,92.99,70
PLC00005664,Life,93.38,42
PLC00009909,Mobile,11.62,27
PLC00003284,Life,64.91,63
PLC00004377,Life,84.64,20
PLC00001754,Health,179.21,102
PLC00006275,Health,165.91,57
PLC00001753,Property,92.65,83
PLC00008318,Life,75.94,38
PLC00002533,Travel,65.6,60
PLC00006102,Motor,101.34,102
PLC00007415,Motor,93.66,64
PLC00008547,Motor,125.16,113
PLC00003914,Property,147.94,62
PLC00005840,Life,71.69,29
PLC00008198,Property,82.81,19
PLC00006468,Property,91.49,69
PLC00002827,Mobile,11.44,19
PLC00007238,Mobile,7.88,6
PLC00008250,Motor,81.12,77
PLC00007806,Life,52.43,108
PLC00001236,Travel,80.86,15
PLC00005360,Life,57.3,103
PLC00005460,Motor,118.17,100
PLC00002928,Life,59.65,8
PLC00005083,Life,71.57,89
PLC00003145,Life,96.52,112
PLC00001907,Life,75.18,37
PLC00006434,Life,83.03,110
PLC00006027,Property,90.4,60
PLC00006296,Health,105.22,103
PLC00001563,Property,82.18,16
PLC00001500,Health,100.76,79
PLC00009764,Property,146.02,13
PLC00005143,Property,141.13,76
PLC00005755,Life,64.22,20
PLC00002830,Motor,129.84,11
PLC00005629,Travel,89.85,12
PLC00002458,Travel,94.19,91
PLC00004322,Mobile,11.14,113
PLC00005696,Life,73.31,11
PLC00004783,Property,128.8,79
PLC00009387,Motor,99.28,83
PLC00006119,Travel,61.08,60
PLC00000082,Motor,123.47,70
PLC00006112,Travel,81.44,14
PLC00000519,Life,61.46,15
PLC00005403,Travel,61.45,28
PLC00007386,Life,59.04,58
PLC00006857,Travel,84.07,95
PLC00005044,Mobile,6.68,101
PLC00002468,Motor,98.25,117
PLC00007768,Health,144.55,18
PLC00004456,Health,117.53,114
PLC00003997,Health,110.11,8
PLC00001363,Mobile,6.11,58
PLC00007507,Motor,105.45,69
PLC00004070,Mobile,9.99,98
PLC00000710,Travel,88.54,47
PLC00001471,Travel,69.38,44
PLC00004291,Travel,57.97,41
PLC00009087,Life,71.97,29
PLC00001573,Mobile,10.98,79
PLC00001862,Life,93.03,59
PLC00002976,Property,132.53,81
PLC00004051,Motor,71.36,48
PLC00003567,Motor,139.32,81
PLC00004972,Health,114.51,83
PLC00006137,Property,141.74,76
PLC00001760,Health,150.9,116
PLC00009798,Health,106.07,7
PLC00005731,Property,132.33,14
PLC00001512,Property,132.09,19
PLC00005914,Mobile,8.56,54
PLC00008928,Mobile,8.95,24
PLC00008706,Property,142.48,32
PLC00006650,Life,96.95,23
PLC00007131,Mobile,10.7,70
PLC00007443,Health,188.82,103
PLC00008872,Life,64.34,83
PLC00000711,Travel,94.41,63
PLC00001012,Mobile,10.79,85
PLC00001331,Life,65.14,95
PLC00004964,Mobile,6.56,109
PLC00007904,Mobile,8.33,39
PLC00009507,Mobile,9.76,118
PLC00004537,Mobile,6.1,116
PLC00009434,Motor,118.55,104
PLC00006848,Mobile,9.18,58
PLC00001989,Travel,79.94,107
PLC00005788,Health,198.68,101
PLC00008127,Mobile,8.55,35
PLC00004289,Travel,94.42,20
PLC00006461,Life,89.76,11
PLC00006695,Travel,85.74,107
PLC00008518,Travel,71.63,112
PLC00000145,Health,119.51,90
PLC00001413,Mobile,8.99,89
PLC00004185,Mobile,8.84,93
PLC00004520,Property,113.34,40
PLC00007861,Motor,87.82,116
PLC00001281,Health,146.01,11
PLC00002028,Life,58.5,62
PLC00003104,Health,150.74,38
PLC00000783,Property,138.4,84
PLC00007807,Travel,63.99,23
PLC00009315,Health,121.16,34
PLC00004811,Mobile,8.15,29
PLC00000025,Mobile,9.86,92
PLC00008463,Motor,132.39,111
PLC00008693,Travel,96.39,41
PLC00000120,Property,100.26,102
PLC00002855,Life,75.91,20
PLC00004715,Property,135.35,60
PLC00008273,Mobile,9.69,78
PLC00006131,Motor,81.17,107
PLC00009136,Mobile,11.93,56
PLC00007587,Property,156.77,34
PLC00004046,Travel,97.56,60
PLC00009955,Travel,78.43,75
PLC00001176,Health,132.01,63
PLC00001720,Life,61.22,77
PLC00000179,Travel,76.06,9
PLC00004930,Life,67.96,48
PLC00008207,Travel,61.83,43
PLC00009807,Health,146.86,88
PLC00002006,Health,190.69,109
PLC00002045,Mobile,7.62,102
PLC00006880,Motor,92.04,116
PLC00003813,Life,89.21,62
PLC00009972,Health,157.84,22
PLC00006492,Travel,66.38,69
PLC00000119,Property,81.77,74
PLC00001201,Health,133.29,80
PLC00001801,Health,127.68,34
PLC00009242,Property,135.33,65
PLC00006197,Health,132.8,86
PLC00009803,Travel,95.35,70
PLC00002553,Motor,122.8,115
PLC00001457,Life,57.78,86
PLC00002233,Mobile,10.28,11
PLC00009643,Life,66.88,80
PLC00007539,Motor,125.25,51
PLC00007620,Motor,120.95,28
PLC00009723,Property,106.83,77
PLC00000453,Mobile,9.46,114
PLC00005137,Health,145.79,60
PLC00006854,Travel,59.97,38
PLC00001786,Travel,77.9,7
PLC00005538,Property,158.34,42
PLC00003250,Travel,77.82,93
PLC00006937,Motor,117.77,92
PLC00009911,Health,152.95,105
PLC00007977,Property,98.61,89
PLC00004063,Life,53.88,116
PLC00003635,Property,136.33,117
PLC00004308,Travel,95.75,42
PLC00008017,Health,160.66,35
PLC00005172,Motor,71.41,20
PLC00004277,Motor,119.05,83
PLC00007541,Life,75.53,27
PLC00001417,Travel,62.56,97
PLC00001181,Travel,56.76,22
PLC00003938,Travel,58.97,57
PLC00007075,Health,151.64,15
PLC00004500,Health,121.21,7
PLC00001062,Life,64.45,61
PLC00006643,Travel,89.13,35
PLC00002400,Health,162.84,18
PLC00008652,Motor,124.84,101
PLC00001357,Mobile,11.11,22
PLC00002682,Health,127.35,116
PLC00002418,Health,117.6,19
PLC00004566,Property,127.14,34
PLC00004729,Motor,86.4,30
PLC00003847,Life,92.56,63
PLC00009532,Motor,138.36,86
PLC00005198,Property,109.65,112
PLC00009968,Property,130.93,71
PLC00001223,Mobile,10.98,117
PLC00008476,Life,66.12,70
PLC00009537,Mobile,11.49,87
PLC00004944,Mobile,6.42,33
PLC00006133,Property,91.55,101
PLC00007234,Property,127.79,109
PLC00005726,Mobile,7.98,67
PLC00005368,Motor,80.13,105
PLC00003970,Property,154.95,30
PLC00009825,Health,121.88,47
PLC00001883,Property,93.91,65
PLC00007479,Mobile,6.25,82
PLC00004929,Motor,75.0,49
PLC00005454,Property,119.46,71
PLC00008923,Motor,121.27,18
PLC00005626,Mobile,6.59,108
PLC00009204,Mobile,8.51,46
PLC00000813,Travel,66.98,59
PLC00005194,Motor,132.84,42
PLC00009691,Life,99.07,14
PLC00000865,Life,82.02,75
PLC00009380,Life,94.87,81
PLC00005775,Property,103.58,116
PLC00006617,Motor,92.39,67
PLC00004160,Mobile,7.67,50
PLC00007332,Motor,124.28,98
PLC00005784,Health,114.96,76
PLC00002334,Motor,110.54,26
PLC00008054,Travel,57.75,112
PLC00004258,Motor,112.24,31
PLC00003723,Motor,122.34,110
PLC00005622,Life,73.11,36
